Event Name,Start Date/Time,End Date/Time,Event Location,Latitude,Longitude
Softball - Adults,2024-08-01T19:00:00.000,2024-08-01T21:00:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Baseball - 12 and Under (Little League),2024-07-15T13:00:00.000,2024-07-15T15:30:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Writers Workshop,2024-08-01T18:30:00.000,2024-08-01T20:00:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-08-01T18:00:00.000,2024-08-01T22:00:00.000,"James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Picnic Performances,2024-08-02T17:00:00.000,2024-08-02T22:00:00.000,Bryant Park: Lawn,40.75375085,-73.98354279430387
Baseball - 12 and Under (Little League),2024-07-30T13:00:00.000,2024-07-30T15:30:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-03T11:00:00.000,2024-08-03T13:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Softball - Adults,2024-08-02T18:00:00.000,2024-08-02T20:30:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-08-02T19:00:00.000,2024-08-02T21:30:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Softball (Little league),2024-08-03T08:00:00.000,2024-08-03T14:00:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
Moves with Limon,2024-08-03T10:00:00.000,2024-08-03T11:00:00.000,Bryant Park: Lawn,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-08-03T10:00:00.000,2024-08-03T12:00:00.000,"Tanahey Playground: Soccer-01 ,Columbus Park: Soccer-01",40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-03T08:00:00.000,2024-08-03T22:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Celebration,2024-08-03T12:00:00.000,2024-08-03T16:00:00.000,Bryant Park: Fountain Terrace,40.75375085,-73.98354279430387
Basketball,2024-08-03T10:00:00.000,2024-08-03T12:00:00.000,"Tanahey Playground: Basketball-02 ,Tanahey Playground: Basketball-03",40.71016515,-73.99516509020711
Miscellaneous,2024-08-02T15:30:00.000,2024-08-02T17:00:00.000,Wagner Playground: Soccer-01,40.7997949,-73.93487686769174
Miscellaneous,2024-08-02T19:00:00.000,2024-08-02T23:00:00.000,"James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Baseball - 12 and Under (Little League),2024-08-02T17:00:00.000,2024-08-02T20:30:00.000,James J Walker Park: Softball-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-02T18:00:00.000,2024-08-02T21:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-03T08:00:00.000,2024-08-03T11:00:00.000,"James J Walker Park: Soccer-01 ,Frederick Douglass Playground: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Celebration,2024-08-03T12:00:00.000,2024-08-03T13:30:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Basketball,2024-08-03T08:00:00.000,2024-08-03T20:00:00.000,St Nicholas Park: Arlington Edinboro Playground-Basketball-01,40.8172902,-73.94903635052356
Soccer - Non Regulation,2024-08-02T17:30:00.000,2024-08-02T21:30:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-02T18:00:00.000,2024-08-02T20:00:00.000,"Wagner Playground: Soccer-01 ,Wagner Playground: Soccer-01 ,Wagner Playground: Soccer-01",40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-08-03T09:00:00.000,2024-08-03T22:00:00.000,James J Walker Park: Soccer-01,40.72974205,-74.00630704669005
Softball - Adults,2024-07-10T17:00:00.000,2024-07-10T19:30:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-08-03T12:00:00.000,2024-08-03T21:00:00.000,"Tanahey Playground: Soccer-01 ,Robert Moses Playground: Soccer-01",40.71016515,-73.99516509020711
Soccer - Non Regulation,2024-08-03T13:00:00.000,2024-08-03T16:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Softball - Adults,2024-08-03T18:00:00.000,2024-08-03T21:00:00.000,"James J Walker Park: Softball-01 ,James J Walker Park: Softball-01 ,James J Walker Park: Softball-01",40.72974205,-74.00630704669005
Soccer - Non Regulation,2024-08-04T09:00:00.000,2024-08-04T23:00:00.000,"James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01",40.72974205,-74.00630704669005
Celebration,2024-08-04T12:00:00.000,2024-08-04T13:30:00.000,Bryant Park: East 42nd Street Allee,40.75375085,-73.98354279430387
Softball - Adults,2024-07-24T17:00:00.000,2024-07-24T19:30:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
Soccer - Non Regulation,2024-08-03T13:00:00.000,2024-08-03T16:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Chess Tournaments,2024-08-04T10:00:00.000,2024-08-04T17:00:00.000,Bryant Park: Fountain Terrace,40.75375085,-73.98354279430387
Soccer - Non Regulation,2024-08-04T09:00:00.000,2024-08-04T13:00:00.000,Tanahey Playground: Soccer-01,40.71016515,-73.99516509020711
Softball (Little league),2024-08-04T08:00:00.000,2024-08-04T12:30:00.000,Wagner Playground: Softball-01,40.7997949,-73.93487686769174
